claimid,claim,doi,link,abstitle,abssentid,abssent,labels,
7,"""Rocks falling into the ocean"" is a factor that contributes to observable sea level rise on human time scales.",10.1126/science.1151540,https://www.snopes.com/fact-check/do-rocks-contribute-sea-rise/,Long-Term Sea-Level Fluctuations Driven by Ocean Basin Dynamics,5,We use a mantle convection model to suggest that New Jersey subsided by 105 to 180 meters in the past 70 million years because of North America's westward passage over the subducted Farallon plate.,N, 
7,"""Rocks falling into the ocean"" is a factor that contributes to observable sea level rise on human time scales.",10.1126/science.1151540,https://www.snopes.com/fact-check/do-rocks-contribute-sea-rise/,Long-Term Sea-Level Fluctuations Driven by Ocean Basin Dynamics,6,This mechanism reconciles New Jersey margin–based sea-level estimates with ocean basin reconstructions.,N, 
8,Every cell in the human body is replaced every seven years.,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,1,"Cataract is a visible opacity in the lens substance, which, when located on the visual axis, leads to visual loss.",N, 
8,Every cell in the human body is replaced every seven years.,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,2,Age-related cataract is a cause of blindness on a global scale involving genetic and environmental influences.,N, 
8,Every cell in the human body is replaced every seven years.,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,3,"With ageing, lens proteins undergo non-enzymatic, post-translational modification and the accumulation of fluorescent chromophores, increasing susceptibility to oxidation and cross-linking and increased light-scatter.",N, 
8,Every cell in the human body is replaced every seven years.,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,4,"Because the human lens grows throughout life, the lens core is exposed for a longer period to such influences and the risk of oxidative damage increases in the fourth decade when a barrier to the transport of glutathione forms around the lens nucleus.",N, 
8,Every cell in the human body is replaced every seven years.,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,5,"Consequently, as the lens ages, its transparency falls and the nucleus becomes more rigid, resisting the change in shape necessary for accommodation.",N, 
8,Every cell in the human body is replaced every seven years.,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,6,This is the basis of presbyopia.,N, 
8,Every cell in the human body is replaced every seven years.,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,7,"In some individuals, the steady accumulation of chromophores and complex, insoluble crystallin aggregates in the lens nucleus leads to the formation of a brown nuclear cataract.",N, 
8,Every cell in the human body is replaced every seven years.,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,8,The process is homogeneous and the affected lens fibres retain their gross morphology.,N, 
8,Every cell in the human body is replaced every seven years.,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,9,Cortical opacities are due to changes in membrane permeability and enzyme function and shear-stress damage to lens fibres with continued accommodative effort.,N, 
8,Every cell in the human body is replaced every seven years.,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,10,"Unlike nuclear cataract, progression is intermittent, stepwise and non-uniform.",N, 
9,A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.,10.1073/pnas.0810957105,https://www.snopes.com/fact-check/dogs-jealousy-study/,The absence of reward induces inequity aversion in dogs,1,One crucial element for the evolution of cooperation may be the sensitivity to others' efforts and payoffs compared with one's own costs and gains.,N, 
9,A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.,10.1073/pnas.0810957105,https://www.snopes.com/fact-check/dogs-jealousy-study/,The absence of reward induces inequity aversion in dogs,2,Inequity aversion is thought to be the driving force behind unselfish motivated punishment in humans constituting a powerful device for the enforcement of cooperation.,S, 
9,A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.,10.1073/pnas.0810957105,https://www.snopes.com/fact-check/dogs-jealousy-study/,The absence of reward induces inequity aversion in dogs,3,Recent research indicates that non-human primates refuse to participate in cooperative problem-solving tasks if they witness a conspecific obtaining a more attractive reward for the same effort.,S, 
9,A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.,10.1073/pnas.0810957105,https://www.snopes.com/fact-check/dogs-jealousy-study/,The absence of reward induces inequity aversion in dogs,4,"However, little is known about non-primate species, although inequity aversion may also be expected in other cooperative species.",N, 
9,A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.,10.1073/pnas.0810957105,https://www.snopes.com/fact-check/dogs-jealousy-study/,The absence of reward induces inequity aversion in dogs,5,"Here, we investigated whether domestic dogs show sensitivity toward the inequity of rewards received for giving the paw to an experimenter on command in pairs of dogs.",N, 
9,A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.,10.1073/pnas.0810957105,https://www.snopes.com/fact-check/dogs-jealousy-study/,The absence of reward induces inequity aversion in dogs,6,"We found differences in dogs tested without food reward in the presence of a rewarded partner compared with both a baseline condition (both partners rewarded) and an asocial control situation (no reward, no partner), indicating that the presence of a rewarded partner matters.",S, 
9,A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.,10.1073/pnas.0810957105,https://www.snopes.com/fact-check/dogs-jealousy-study/,The absence of reward induces inequity aversion in dogs,7,"Furthermore, we showed that it was not the presence of the second dog but the fact that the partner received the food that was responsible for the change in the subjects' behavior.",S, 
9,A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.,10.1073/pnas.0810957105,https://www.snopes.com/fact-check/dogs-jealousy-study/,The absence of reward induces inequity aversion in dogs,8,"In contrast to primate studies, dogs did not react to differences in the quality of food or effort.",N, 
9,A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.,10.1073/pnas.0810957105,https://www.snopes.com/fact-check/dogs-jealousy-study/,The absence of reward induces inequity aversion in dogs,9,"Our results suggest that species other than primates show at least a primitive version of inequity aversion, which may be a precursor of a more sophisticated sensitivity to efforts and payoffs of joint interactions.",S, 
10,Eating alligator in New Orleans will help save the wetlands of Louisiana.,10.1111/j.1469-185X.2011.00203.x,https://www.snopes.com/fact-check/will-eating-alligator-save-wetlands/,Top predators as biodiversity regulators: the dingo Canis lupus dingo as a case study,1,Top-order predators often have positive effects on biological diversity owing to their key functional roles in regulating trophic cascades and other ecological processes.,R, 
10,Eating alligator in New Orleans will help save the wetlands of Louisiana.,10.1111/j.1469-185X.2011.00203.x,https://www.snopes.com/fact-check/will-eating-alligator-save-wetlands/,Top predators as biodiversity regulators: the dingo Canis lupus dingo as a case study,2,Their loss has been identified as a major factor contributing to the decline of biodiversity in both aquatic and terrestrial systems.,R, 
10,Eating alligator in New Orleans will help save the wetlands of Louisiana.,10.1111/j.1469-185X.2011.00203.x,https://www.snopes.com/fact-check/will-eating-alligator-save-wetlands/,Top predators as biodiversity regulators: the dingo Canis lupus dingo as a case study,3,"Consequently, restoring and maintaining the ecological function of top predators is a critical global imperative.",R, 
10,Eating alligator in New Orleans will help save the wetlands of Louisiana.,10.1111/j.1469-185X.2011.00203.x,https://www.snopes.com/fact-check/will-eating-alligator-save-wetlands/,Top predators as biodiversity regulators: the dingo Canis lupus dingo as a case study,4,"Here we review studies of the ecological effects of the dingo Canis lupus dingo, Australia's largest land predator, using this as a case study to explore the influence of a top predator on biodiversity at a continental scale.",R, 
10,Eating alligator in New Orleans will help save the wetlands of Louisiana.,10.1111/j.1469-185X.2011.00203.x,https://www.snopes.com/fact-check/will-eating-alligator-save-wetlands/,Top predators as biodiversity regulators: the dingo Canis lupus dingo as a case study,5,"The dingo was introduced to Australia by people at least 3500 years ago and has an ambiguous status owing to its brief history on the continent, its adverse impacts on livestock production and its role as an ecosystem architect.",N, 
10,Eating alligator in New Orleans will help save the wetlands of Louisiana.,10.1111/j.1469-185X.2011.00203.x,https://www.snopes.com/fact-check/will-eating-alligator-save-wetlands/,Top predators as biodiversity regulators: the dingo Canis lupus dingo as a case study,6,"A large body of research now indicates that dingoes regulate ecological cascades, particularly in arid Australia, and that the removal of dingoes results in an increase in the abundances and impacts of herbivores and invasive mesopredators, most notably the red fox Vulpes vulpes.",N, 
10,Eating alligator in New Orleans will help save the wetlands of Louisiana.,10.1111/j.1469-185X.2011.00203.x,https://www.snopes.com/fact-check/will-eating-alligator-save-wetlands/,Top predators as biodiversity regulators: the dingo Canis lupus dingo as a case study,7,"The loss of dingoes has been linked to widespread losses of small and medium-sized native mammals, the depletion of plant biomass due to the effects of irrupting herbivore populations and increased predation rates by red foxes.",N, 
10,Eating alligator in New Orleans will help save the wetlands of Louisiana.,10.1111/j.1469-185X.2011.00203.x,https://www.snopes.com/fact-check/will-eating-alligator-save-wetlands/,Top predators as biodiversity regulators: the dingo Canis lupus dingo as a case study,8,We outline a suite of conceptual models to describe the effects of dingoes on vertebrate populations across different Australian environments.,N, 
10,Eating alligator in New Orleans will help save the wetlands of Louisiana.,10.1111/j.1469-185X.2011.00203.x,https://www.snopes.com/fact-check/will-eating-alligator-save-wetlands/,Top predators as biodiversity regulators: the dingo Canis lupus dingo as a case study,9,"Finally, we discuss key issues that require consideration or warrant research before the ecological effects of dingoes can be incorporated formally into biodiversity conservation programs.",N, 
11,Using toilet paper as a barrier between your derriere and a toilet seat poses more health risks than just sitting down without a barrier.,10.1128/AEM.01030-13,https://www.snopes.com/fact-check/toilet-paper-on-toilet-seat/,Transfer Efficiency of Bacteria and Viruses from Porous and Nonporous Fomites to Fingers under Different Relative Humidity Conditions,1,Fomites can serve as routes of transmission for both enteric and respiratory pathogens.,R, 
11,Using toilet paper as a barrier between your derriere and a toilet seat poses more health risks than just sitting down without a barrier.,10.1128/AEM.01030-13,https://www.snopes.com/fact-check/toilet-paper-on-toilet-seat/,Transfer Efficiency of Bacteria and Viruses from Porous and Nonporous Fomites to Fingers under Different Relative Humidity Conditions,2,The present study examined the effect of low and high relative humidity on fomite-to-finger transfer efficiency of five model organisms from several common inanimate surfaces (fomites).,N, 
11,Using toilet paper as a barrier between your derriere and a toilet seat poses more health risks than just sitting down without a barrier.,10.1128/AEM.01030-13,https://www.snopes.com/fact-check/toilet-paper-on-toilet-seat/,Transfer Efficiency of Bacteria and Viruses from Porous and Nonporous Fomites to Fingers under Different Relative Humidity Conditions,3,Nine fomites representing porous and nonporous surfaces of different compositions were studied.,N, 
